system,region,split,n,example_f1,dialogue_t1_set_match,dialogue_t2_set_match,dialogue_t1_example_f1,dialogue_t2_example_f1,notes
EarthDial_4B_MS,MultiSenGE,zeroshot_test,2497,0.0517,0.0000,0.0000,0.0000,0.0000,post-radiometry-fix
LULCDial_S1_v0.1,MultiSenGE,finetune_test,2497,0.8124,0.1342,0.3897,0.8125,0.8701,post-radiometry-fix; T1 F1≈classify F1
LULCDial_S1_v0.1,MultiSenNA,transfer_no_retrain,11939,0.6794,0.0134,0.0788,,,"post-radiometry-fix; dialogue F1 pending laptop/PARAM rescore"
